product_id,date_posted,review_title,review_text
110467,"Posted on Aug 3, 2024",Who doesn’t need this ,"I have been having a lot of problems sleeping lately. Thought I would try to sleep aid definitely be taking melatonin. It is a dropper and the taste is not too bad. It definitely helps with staying asleep. you take 30 drops I usually use it under my tongue. It helps when I can’t sleep at night too many racing thoughts if you’re like me, you will definitely benefit"
110467,"Posted on Jul 28, 2024",,"I've always been a light sleeper and during stressful times, it becomes really difficult to fall back asleep. I started taking this supplement because I needed to balance my mood, in general. I noticed immediately that my sleep improved greatly and I feel much calmer overall. I now enjoy restful nights."
110467,"Posted on Sep 28, 2024",Amazing!,"I really enjoy this product in liquid form since I already take so many pills. I place the liquid under my tongue before bed, and it helps me relax and unwind. It’s a wonderful blend of herbs for sleep. I do wish they offered a larger bottle, but for now, it's affordable and effective size! The quality is excellent, and there's no alcohol ingredient in it. I also appreciate the quick delivery from iHerb."
110467,"Posted on Sep 9, 2024",Liquid sleep!,"I love this product as a liquid since I take so many pills already. I take liquid on the tongue before bed and it helps relax and unwind. A great mix of herbs for sleep. I wish they made a bigger bottle, but for now it is affordable and helps!  Great quality and no alcohol it it. I love the fast delivery from iHerb.   "
110467,"Posted on Sep 7, 2024",,"I've been using California Gold Nutrition Goodnight Sleep for a few weeks now, and it has made a noticeable difference in the quality of my sleep. The blend of natural ingredients helps me relax and fall asleep faster, and I wake up feeling more refreshed. I appreciate that it doesn't leave me groggy in the morning. It's a great addition to my nightly routine!"
110467,"Posted on Aug 1, 2024",Worth trying,"It is a pretty good blend of natural herbs to promote restful sleep. Key ingredients like Milky Oat Seed and Skullcap Herb provide a soothing effect, helping to calm the nervous system. St. John's Wort Flowering Herb and Passion Flower Herb contribute to easing anxiety and stress, making it easier to unwind before bedtime. Hops Strobiles are well-known for their sedative properties, which enhance the overall sleep-inducing effects of the formula. The addition of Fresh Lobelia Herb and Fresh Pulsatilla Herb rounds out this potent mix, offering gentle muscle relaxation and mental tranquility. Thanks to this product, I fall asleep faster and enjoying a deeper, more restorative sleep throughout the night. Last but not least, it tastes okay for me."
110467,"Posted on Apr 18, 2024",Amazing,"These drops do the job. They help me fall a sleep and feel relaxed during my sleep. Plus, no side affects at all. 
One of the best products for a good night sleep and I tried many. 

It says that the serving size is 30 drops but I only use 10 drops. I put the drops directly on my tongue the taste is a bit bitter but I like it."
110467,"Posted on Apr 4, 2024",Seems to work.,"For dosage I take a dropper full and it does seems to help me get to sleep and wake up feeling rested. You will taste it since it is liquid and it is herbal sweet type taste, not a bad taste to me. The quality of the ingredient seems good."
110467,"Posted on Mar 5, 2024","soothing for sleep,","
Medicinal plants, saffron, saffron and passion flower.
Helps calm the mind and supports healthy sleeping habits,
  A relaxing sleep supplement designed for those dealing with racing thoughts or restlessness before bed. A natural sleep aid with relaxing herbs
Sleepless nights can lead to tense days, but this supplement may break that exhausting routine. This formula, which contains a proprietary blend of selected plants such as St. John's Wort, St. John's Wort, and Passion Flower, should be taken the recommended amount 30 minutes before bedtime to help calm the mind and prepare for sleep."
110467,"Posted on Feb 5, 2024",Deep Sleep,"High quality multi-ingredient (Valerian Free).
It has other herbs tastes and it is a balanced blend.
Pleasant to have, a dose in a little water, or a small squirt via the dropper.
Benefits are the convenience of taking this product instead of making a herbal infusion when the hour is late. 
The resulting effect is deep sleep, not necessarily a long duration sleep, but enough, plenty in fact.
The 30ml bottle should get you through a month, maybe by taking varying amounts, small doses on some occasions."
18995,"Posted on Mar 20, 2024",amazing product for relaxation,this product has great quality ingredients and has the perfect dosage size. I can see many benefits without any concern. it has no taste and it affects me quickly and sometimes helps me sleep a bit. I really recommend it. it's a great herb with many benefits and can be used as a tea
18995,"Posted on May 31, 2024",Great Quality,"Great for sleep and gym, ingredient is true to what it says, size is okay, product is efficient, packaging is good. Have less cramps during training the next day, energy is there too. Has no taste. Quality is good, increased metabolism as well. Dosage is just right, and it benefits the liver."
18995,"Posted on Aug 30, 2024",,"I combine passion flower and lemon balm before bedtime to enhance my sleep quality. The calming effects of both herbs work synergistically, helping me relax and drift off more easily. This natural blend has become an essential part of my nighttime routine, allowing me to enjoy a more restful night."
18995,"Posted on Oct 9, 2024",Great Natural Support for Relaxation and Calm,"I've been using Solaray True Herbs Passion Flower for a couple of months, and it has become a key part of my daily routine for managing stress and promoting relaxation. I take one or two capsules in the evening, and I find it helps me wind down without any grogginess the next day. The dosage is great since each capsule is 350 mg, which lets me easily adjust based on how I’m feeling.

I also appreciate that these are vegetarian capsules, which align with my dietary preferences. The quality of Solaray products is consistently good, and I’ve found this passion flower supplement to be no exception. If you're looking for a natural way to relax or support a calm mind, I highly recommend giving this product a try."
18995,"Posted on Oct 1, 2024",passion flower,"The primary ingredient, passion flower (Passiflora incarnata), is well-known for its calming properties. This supplement features high-quality passion flower extract, ensuring that I’m getting the most potent form of this beneficial herb. I appreciate that it contains no fillers or artificial additives, so I know I’m consuming a pure product. The capsules are vegetarian-friendly, which is a plus for my dietary preferences. One of the most significant benefits I’ve experienced is a noticeable reduction in anxiety and stress levels."
18995,"Posted on Sep 13, 2024",Solaray True Herbs Passion Flower capsules,"I started using Solaray True Herbs Passion Flower capsules to help manage my stress and anxiety levels, and I'm very pleased with the results. The 700 mg dosage seems to be just right for calming my nerves without causing any drowsiness. I take it before bedtime, and it has helped improve my sleep quality significantly. The capsules are vegetarian, which fits well with my dietary preferences. Additionally, the bottle comes with 100 capsules, making it a great value for the price. I feel more relaxed during the day and would recommend this natural remedy to anyone looking for support with stress and sleep issues."
18995,"Posted on Aug 26, 2024",this product is worth ,"I recently tried Solaray True Herbs Passion Flower, and I’m pleased with the results. Each capsule contains 350 mg of passion flower extract, and the recommended dosage of two capsules daily has been quite effective for me. I’ve noticed a positive impact on my stress levels and overall mood. The capsules are easy to swallow and are a great addition to my wellness routine. If you're looking for a natural way to support relaxation and reduce anxiety, this product is worth considering."
18995,"Posted on Aug 5, 2024",Calming and great for anxiety,"I have pretty severe anxiety but have struggled with side effects of prescription medication. I decided to try this supplement after hearing it’s good for calming the nervous system and I really feel like it makes a difference in my day to day anxiety levels. I could feel my body relaxing when I took the first pill, and I’ve only been taking half the stated dosage. I also take ashwaganda to help with more chronic stress. "
18995,"Posted on Jul 31, 2024",very well performed,"in combination with rhodiola this provided me with relieveing my panicky anxiety in very stressful time+ helped with a sleep! 
Dosage,imho, is sufficient!
I took it during day, as the situation then required me to be grounded or at least somewhat sleepy,not jittery and stressed, so this really helped! I react very well on herbal remedies and supplements, we get along very well.
Real quality product, I advise! Ingredients- minimal,as it should be. Benefit- calmer nervous system, better sleep!"
18995,"Posted on Jul 5, 2024","Solaray, True Herbs, Passion Flower, 700 mg, 100 VegCaps (350 mg per Capsule)","I'm overjoyed with what I recently bought! Not only did the product meet my expectations, it surpassed them. It works precisely as advertised and is of exceptional quality. The lightning-fast delivery was even more impressive. It was quite nice that my order arrived two days after I placed it. All in all, I'm really happy with the goods and the wonderful service. I'll most definitely be back to shop here!"
117600,"Posted on Mar 19, 2024",great quality passionflower,"This passion flower supplement is remarkable! Its high-quality ingredients contribute to overall health and complement any diet beautifully. With its potential benefits for bone health and preventive effects, it's suitable for all ages. Plus, its compact size ensures ease of use. Experience noticeable improvements in well-being and efficiency with this potent supplement!"
117600,"Posted on Dec 9, 2023",,"While Lemon Balm helps my sleep at night, Passion Flower provides a gentle yet effective way to manage stress during the day. Its calming properties have proven beneficial in navigating the challenges of a stressful work environment. Although slightly milder than Lemon Balm, the combination of both has significantly contributed to a more balanced and peaceful daily experience. Highly recommend! "
117600,"Posted on Dec 4, 2023",Great product helps me drive ,"Been taking this product for a year now, and when I ran out, I noticed the difference. Ran out of it while traveling, and that was a big mistake, this stuff really helps. Keep my anxieties down while driving.
The capsules are not huge, there is no funky odors, just an all-around great product and a great price."
117600,"Posted on Nov 25, 2023",Good for relaxation,"The ingredient quality is great, for age and hemp, the package is quite good, the composition benefits are great, good for improving your relaxation diet and mood, the supplement is awesome, so are the taste and smell, if your concern is to relax well this product can help you a lot with that. "
117600,"Posted on Nov 12, 2023",Love this product! ,I love this herb. Gives me a chill vibe which is an improvement for me and helps me maintain a regulated nervous system. Highly recommend. I used to take it in tea but need all the help I can feet so now I have this in the morning and evening. 
117600,"Posted on Sep 26, 2024",Very nice product. I like it,"Generally I like this company's products and this one is no exception. Its package is light and comfortable, the ingredients are of a good quality, the size is easy for me to swallow and has no weird taste. This supplement has a positive effect on my overall health. It also boosts my energy levels and I recommend it."
117600,"Posted on Sep 11, 2024",Cheap but it gets the job done,"You should know that this is not passion flower extract, so if you have been using those products you should adjust dosage for these babies. From my experience two of these pills equals 250-350 mg of extract ones, but I could be wrong, just try and see for yourself. Once I corrected the dosage this product worked just fine. Will order again."
117600,"Posted on Aug 30, 2024",,"It's an absolute godsend for one's beauty sleep. These marvellous little capsules have become the crown jewel of one's nightly routine, soothing one's nerves after a whirlwind day of soirées and charity galas. One finds oneself drifting off to dreamland with the elegance of a swan gliding across a moonlit lake."
117600,"Posted on Jul 17, 2024",Passion Flower,"Passion flower (Passiflora incarnata) is a plant known for its calming and medicinal properties. Here are its key benefits and uses, particularly for women:

Reduces Anxiety: Passion flower is commonly used to alleviate anxiety and promote a sense of calm. It works by increasing levels of gamma-aminobutyric acid (GABA) in the brain, which helps reduce brain activity and induce relaxation.

Improves Sleep: The herb ingredients is often used as a natural remedy for insomnia and other sleep disorders. It can help individuals fall asleep faster and improve overall sleep quality.

Eases Menstrual Symptoms: Passion flower can help relieve menstrual cramps and discomfort due to its muscle relaxant properties. It may also help stabilize mood swings associated with PMS."
117600,"Posted on Jun 23, 2024",Soothing,"The overall quality, ingredient, size, dosage, benefits and taste of this product is great. It helped me feel relaxed and I was calm during the day. It also helped me sleep well and soothes my night sleep. I recommend this product it is very useful for stress relieve and the ingredients are good"
18044,"Posted on Mar 29, 2024",great product,"I recently tried Passion Flower by NOW Foods, and I must say, it's been a game-changer in my quest for natural stress relief and relaxation. Here's my detailed review based on my experience:

Effectiveness:
Passion Flower is renowned for its calming properties and its ability to promote relaxation without causing drowsiness. I found this to be true in my own experience. Incorporating Passion Flower into my daily routine helped me manage stress more effectively, leading to a noticeable reduction in feelings of anxiety and tension. I particularly appreciated that it didn't leave me feeling sluggish or foggy-headed, allowing me to remain alert and focused throughout the day."
18044,"Posted on Oct 23, 2023",Helped me get a better night's sleep,"I've used Passion Flower to get to sleep quicker as it shuts off ""the monkey chatter"" in my mind.  It has benefitted me to go back to sleep quicker when I wake up in the night & its improved my quality of a better night of sleep. I have no concern for being ""groggy"" from using this supplement."
18044,"Posted on Jun 20, 2024",Excellent quality and hard to find ingredient ,"excellent prices and services , wonderful dosage that is hard to find, we benefit from the strong ingredient and fast shipping. No taste and good size, very happy with the results.  excellent for sleep and relaxation with no nasty side effects. very easy to buy and fast shipping, not mixed with products im not allowed to have"
18044,"Posted on Feb 25, 2024",很好！,"NOW® Sports Sustained Energy is formulated to supply the nutrients you need to promote sustained energy production and mental alertness. With a complement of B vitamins and other cofactors such as chromium, magnesium malate and carnitine, Sustained Energy delivers what your cells need most to drive energy production. This product also has tyrosine and iodine to support optimal thyroid function, plus a blend of immediate and sustained release caffeine to get you going and keep you going."
18044,"Posted on Jan 5, 2024",,"I've been taking Passion Flower capsules for a few years, primarily to help with my stress and anxiety. The benefits have been pleasantly surprising. I find myself feeling calmer and more relaxed, especially in situations that would normally make me anxious. Great improvement thanks to a natural quality product! While they're not a cure-all, they've definitely helped in managing my daily stress levels, making my days more manageable."
18044,"Posted on Jan 5, 2024",Relax,"I really loved these! Passion flower has always made me relax significantly, and I wanted something in pill form after using a tincture for awhile. These were really effective in my opinion. I slept better, I didn't have as many racing thoughts, and was generally at ease. The ingredients are great too, it's an all vegan formula. There wasn't any taste at all and I thought the quality was top notch (as it usually is with NOW brand). I will definitely keep buying these! "
18044,"Posted on Dec 11, 2023",Sleepy slumber,I heard that passionflower was good for anxiety and getting back to sleep so I tried it. I use 2 at bedtime and I find it’s been helpful. I’m not as wound up and feel like I fall back asleep much faster now when I do wake up. 
18044,"Posted on Nov 4, 2023",Great ,"Am amazing ingredients, great for immunity boosting, the packaging great, super
Dosage, recommend all specially those with mild anxiety, together with St Johns worth, best for mood and premenopausal syndrome, great for sleep
Improvement and relaxation, anxiety and mild depression 
Good amazing product 

I definitely recommended to all my friends, much better than the ones I found in pharmacy.
Good good good good good good
Big size and great use of the quantity, good packaging, great brand 
Good quality and absorption, for general mood improvement, good brand and ingredients 
For all that struggle with menopause syndrome "
18044,"Posted on Oct 19, 2023",Sleeping remedy!!!,"I had sleeping problems due to the stress for the last few years. I started taking Passion Flower 1 capsule at night together with Melatonin 3mg. After a week I started feeling like a new person, rested and having all night sleep without waking up every 2 -3 hours.
Strongly recommend !!!"
18044,"Posted on Jul 1, 2024",Calming and sleep-promoting,"I was on neuro-mag for sleep and was afraid it might affect Calcium absorption as my Magnesium levels are adequate. Then I opted for passion flower from now and it provided a good results for sleep and mood. I find the package size very good when compared to the price and it provides quality results with a sole ingredient of passion flower. A dosage of 350 mg is not too high and not too low too for a soul daily dose. Has no taste but has a mild, but acceptable odor. the benefit is good and recommended for an adequate and limited time use,"
129090,"Posted on Aug 5, 2024",Great Product,Thought I'd give this a try as I have problems relaxing and falling asleep plus getting back to sleep.  I take 1 pill and it does seem to help me relax and fall asleep. it help me to fall back to sleep after waking up during the night too. it's an easy to swallow capsule and you take only 1. A great natural alternative to other sleeping aids.
129090,"Posted on Jan 24, 2024",Passion flower ,"Great quality, great ingredients, great supplement! It makes you have a deep sleep and it’s supposed to help with hormones (ladies) lol. we need all the help we can get! Get some and try it, to see what you think. Great benefit to our diet/improvements make a difference! "
129090,"Posted on Aug 26, 2024",helps with menopausal symptoms,"I purchased this product because I suffer from menopausal symptoms, and I have to say, Passion Flower Extract has been a game-changer for me. It has significantly alleviated my nervousness, depression, and sleep disturbances. Whenever I feel overwhelmed or stressed, Passion Flower Extract helps to calm me down and provides much-needed support.

One of the things I appreciate most about this product is how easy the pills are to swallow. The dosage is perfect, making it simple to incorporate into my daily routine. The price-performance ratio is excellent, and the quality of the ingredients is top-notch.

I’ve tried several Passion Flower Extract products in the past, including those with multiple ingredients. However, I found that those didn’t work as effectively for me. Pure Passion Flower Extract in a high dose seems to be the best solution for my needs. I also appreciate that this product doesn’t seem to have any interactions, unlike some other supplements I’ve tried.

Overall, I am extremely satisfied with this product. It has made a noticeable difference in my well-being, and I feel more balanced and at ease. I highly recommend this product to anyone dealing with similar issues. The combination of effectiveness, ease of use, and value for money makes it a standout choice."
129090,"Posted on Sep 23, 2024",For relaxation,"I've been using this product for ten days, but from the first capsule you can feel that after half an hour the tension and anxiety decrease, and the effect lasts for quite a long time. I usually take it first thing in the morning to make it easier to bear the hectic pace at work. Good quality and dosage that is a bit stronger but without side effects. I recommend!"
129090,"Posted on Sep 15, 2024",,"My most favorite herbal, nothing like it in the whole world! It works like a sedative. Fabulous for those really stressful days. If relaxation is what you want then this is the herb for you. Small price to pay to get relaxed. It can also be used for sleep, the quality of sleep with no groggy feeling is amazing! Not to mention,  non addictive! "
129090,"Posted on Sep 3, 2024",Great Product,"Taste is okay, ingredient’s are pretty true to package, size is about right. Using it for brain and bodybuilding/muscle building, benefits are immaculate for dieting as well. Composition and recipe is true to label. Serving size is 5g per serve for me, frequent daily usage. Gives some energy for training. Great Quality."
129090,"Posted on Apr 4, 2024",Great product ( at night for sleep you must take 2),"What impressed me is how quickly my orders were delivered ... I live in Greece and I shopped there several years ago, they impose duties and taxes on us at customs.!! Now everything goes through Europe and you don't pay anything extra, The last two orders were placed on 24/03/2024 and today 04/04/2024 they were delivered a little while ago..!! I have no doubts about the quality of the products because everything is made in USA... and I have tried them, I hope to continue buying from there if the prices do not change because it is cheaper than Greece...!!"
129090,"Posted on Nov 16, 2023",Something I didn't know,This product surprised me quite a lot. I took it for the first time about a week ago and slept very well indeed. I want to buy some more but at present the product is out of stock. That is a shame but the company will contact me as soon as it is back in stock.  I can't wait! 
129090,"Posted on Jun 12, 2024",One of the better extracts,"I actually just prefer taking large doses of the plain herb, but as far as extracts go this is one of the best. Great price, small capsules. "
129090,"Posted on Mar 29, 2024",很好！,"As I have anxiety disorder, so always take medicine like Xanax to relieve it. However after trying this product, it also works well with my symptoms, so I recommend this to those people also have anxiety disorder."
5222,"Posted on Sep 16, 2024",,"Nature's Answer Passionflower Aerial Parts Fluid Extract offers a calming, alcohol-free solution that I find effective for reducing stress and promoting relaxation. The 2,000 mg dosage in a 1 fl oz bottle provides a concentrated and potent extract that's easy to incorporate into my routine. I appreciate the alcohol-free formula, which makes it a gentler option for those who prefer or need to avoid alcohol. Overall, it's a valuable addition to my wellness regimen for its soothing benefits and high-quality formulation.






"
5222,"Posted on Sep 6, 2024",Helpful before bed,"I love this brand for their quality ingredients and a good size product. I find them good value for money. I’ll give this to the kids before bedtime to calm them and I find that they drift off to sleep much easier. The dosage is easy to follow and the taste is quite palatable, especially mixed with a bit of juice. it is quick to notice the benefits. "
5222,"Posted on Aug 8, 2024",,"The passionflower drops have a gentle yet effective formula that helps soothe my mind and body. I've been using it during stressful days and before bedtime, and it consistently helps me relax and unwind. The natural ingredients provide a sense of calm without any grogginess or side effects. It has become an essential part of my wellness routine. "
5222,"Posted on Jul 5, 2024",For sleep issues,"Extremely good quality, helps me sleep well after my surgery the size of bottle lasts for a month the dosage  I use 3 drops under my tounge the taste is bitter however its benefits are great. The ingredients works very well with me. I use it also with five flower formula. It is Highly recommended. "
5222,"Posted on Jun 4, 2024",Great Quality,"Taste is okay, ingredient’s are pretty true to package, size is about right. Using it for brain and bodybuilding/muscle building, benefits are immaculate for dieting as well. Composition and recipe is true to label. Serving size is 5g per serve for me, frequent daily usage. Gives some energy for training. Great Quality."
5222,"Posted on Apr 1, 2024",One of the best sleep aids out there,"Passionflower is great for helping you get to sleep, but not all passionflower extracts are made the same. I've tried tea, powder, tinctures etc.. and found this Nature's Answer's extract to be one of the most effective for inducing sleep. I usually take 3 dropperfuls along with a number of herbs, but this is an essential one."
5222,"Posted on Mar 8, 2024",Lulls you to sleep,"Good quality passionflower extract that benefits restful sleep. Dosage is easy to get right because of the dropper application (about 70 drops/serving). It is in a travel-friendly sized bottle and does not have a strong taste. I mix it with cherry juice and magnesium as a sleepytime elixir, and it definitely lulls me to sleep in a gentle, non-addictive way."
5222,"Posted on Feb 10, 2024",Useful,The quality and size are great. The ingredients and dosage are appropriate. The taste is fine. It benefits my mood. I have liked using the product for stress and overall health. I will buy this product again in the future. It was recommended by my naturopathic doctor. This is a brand I trust. 
5222,"Posted on Jan 24, 2024",Promotes Relaxation,My child and I have a challenging time falling asleep. We decided to add this to our nightly chamomile regiment and it helps reduce the amount of time before sleep arrives. I love that it is glycerine based and because of this it is mild in flavor. I have reordered it and have it stocked at all times. 
5222,"Posted on Jan 14, 2024",,"This items was everything I expected. Purchasing and delivery processes were seamless. Health benefits were notable. I feel extra energy in my muscles. It does not have any taste. Quality ingredients were used in this packaging. I liked having this item in my diet, it help with my training and musical compositions."
30819,"Posted on Jan 24, 2024",,"Passion Flower herb arrived in a large, fragrant bag, offering an incredible, fresh aroma. Whether enjoyed on its own or blended with other teas, the taste is delightful. It's my go-to tea evening tea for a calming evening, and the generous size provides excellent value. The quality is noteworthy, and I plan to repurchase again due to its great taste, benefits, versatility in blending, and the soothing experience it brings to my daily routine. The absence of caffeine adds to its appeal as an ideal choice for my evening routine. "
30819,"Posted on Dec 1, 2023",Chillax and rest easy,"This is such an effective tea to settle me down and really bring things down to earth. It’s a great fog lifter from the stress of the day and a nice way to really mellow me out. The flavor by itself is something to get used to, but I’ve found most things like this just become its own thing after a while. It’s like once you start drinking black coffee no sugar. Once you get over the hump, you can start to appreciate other flavors you never noticed before. Some of the foreign flavors in Passion Flower are ok once you get to know them. Also, I mix it with something I enjoy too. It all depends. Good stuff!"
30819,"Posted on Oct 1, 2024",Love This One,"I’ve been enjoying Frontier Co-op’s Cut & Sifted Passion Flower Herb! The calming properties make it perfect for winding down in the evening. I love brewing it into a soothing tea that helps relieve stress and promote relaxation. The 16 oz bag is generous and lasts a long time, allowing me to incorporate it into my nightly routine. It’s a delightful addition to my herbal collection, and I appreciate the quality that Frontier Co-op provides!"
30819,"Posted on Mar 30, 2024",Great Value.,The size of these bags is great. How much of the quality ingredients you get at once..  buying your tea ingredients in bulk is just 100% the way to go. We add about 2 tablespoons per serving to our nightly tea blends for that relaxing benefit. Definitely caffeine free! Not a resealable package. 
30819,"Posted on Mar 12, 2024",Helps me sleep,"My doctor suggested using passion flower to help me stay asleep, which I've been having issues with for years.   This definitely helped!  The flavor isn't the greatest, so I may mix it with other teas that I usually have in the evenings.  Highly recommend it for those who like tea and are having perimenopausal sleep disturbances.  "
30819,"Posted on Jan 4, 2024",Must have for anxiety ,This herb is a must have for anxiety. It is very calming. It has a very earthy taste so it’s best to mix with something like chamomile or peppermint when using as a tea. We use as teas and tinctures mixed with other herbs and it is absolutely amazing. Has great benefits. Will definitely purchase again. 
30819,"Posted on Dec 18, 2023",Passionflower,Love love love this product! Fabulous for stress and anxiety.  Don't know what I'd do without it.  I smoke it and eat it. Quality is fantastic along with the price. Supplements of this nature are superb in that it's actually the plant and flowers cut and sifted for quality.
30819,"Posted on Oct 26, 2023",Quality raw herb for stress,"The taste is not great but goes well with lemon and honey for our night cuppa.
The size of the package is HUGE so you might want to share it with someone else.
It benefits the nervous system having a calming effect.
This tea is caffeine free and you can use it to create your unique relaxation blend by using a few different herbs in it."
30819,"Posted on Apr 21, 2024",Great blend addition to the tea.,"It has good herbs quality, I like package and serving.
The smell and taste are specific, has strong grass smell. Recommends to use it as addition to the tea.
Anyway, it has good nature quality. And size of the package is big, enough for a long time."
30819,"Posted on Mar 26, 2024",A favorite for evenings! ,"Great quality. The taste is earthy, but I typically blend it with other herbs. I frequently brew this in the evenings because of how it benefits the nervous system by calming and soothing. It also acts as a sedative tea. Naturally no caffeine. "
110043,"Posted on Nov 23, 2023",,"It helps me sleep when I take it before bed, has a nice and calming effect but sometimes could make me too sleepy if I take it throughout the day. Good quality product and convenient when I’m not in the mood to drink passionflower in the form of a tea."
110043,"Posted on Nov 19, 2023",Helps to calm,"Passionflower has many uses, it may help with mood, menopause symptoms, blood pressure, reduces inflammation and helps to calm and relax the body for sleep. I take it with Oregons Wild Harvest Lemon Balm at night to relax before bed.  This is a great brand, organic, pure, no fillers, and comes in a glass bottle.   "
110043,"Posted on Jun 2, 2024",Promotes relaxation ,"I really like this product and I am obviously not the only one, because it’s sold out very often…

The ingredients are organic and vegan friendly, which I really like and the dosage is adequate and effective. 

Passionflower has a proven ability to help with stress and anxiety and I’ve recently learned that it can also help with asthma. 

Highly recommend!"
110043,"Posted on Mar 27, 2024",After a month,This thing works. I take it around 10pm and I’m all drowsy by 11.30pm. Slept well. In the day when I’m having trouble stabilizing myself with racing heart beats due to palpitations I take one and it calms me down. But obviously you do feel a little drowsy but you still function well. I don’t take more than two a day so that my body does not develop reliance on it. 
110043,"Posted on Oct 20, 2023",Anti-anxiety,"Our family's experience with Passion Flower has been a game changer. Our youngest suffers severe anxiety and amazingly, this helps take the edge off. We also use it to help drift off to sleep, and find that it really does help to get into the zone. 
Lovely, deep sleeps are always experienced after taking one or two of these each night."
110043,"Posted on Oct 1, 2024","Anxiety, depression","I’ve been using this product for about five months now, and I have seen any significant change. I feel like it works great with adapting to my body body to what it needs."
110043,"Posted on Jun 12, 2024",,"Thank you very much for this product, it suited me, I like the packaging, comfortable and stylish, I will order more of these products, and recommend them to all my friends and relatives! good!!"
110043,"Posted on Apr 9, 2024",Before Bed Must!,"I take one of these every night around an hour before bed time, helps to calm my mind and prepare me for bed.  Find i get stressed easily and this is definitely taking the edge off.  Fall asleep much easier after taking"
110043,"Posted on Mar 5, 2024",Great product!,"I am taking it twice a day for about 2 weeks now. It is supposed to help dealing with stress. But I know, it has an accumulating effect, I intend to take it for 3-6 months."
110043,"Posted on Mar 4, 2024",Super to help relax,"This has been very helpful in keeping me more relaxed during the day, and helps with sleep at night....Has worked well for me...I am prone to restlessness, and I think this has worked well to keep me on a more even keel..."
5181,"Posted on Sep 25, 2024",,"Passionflower has been a calming and soothing supplement for managing stress and promoting relaxation. I’ve found it helpful in winding down after a busy day, and it’s particularly effective in improving my sleep quality. The capsules are easy to take, and I appreciate that it’s a natural, herbal option without causing grogginess. It’s been a gentle and effective way to support relaxation and reduce anxiety, making it a great addition to my evening routine."
5181,"Posted on Jun 3, 2024",Surprisingly good!,"One of the closest natural tranquilizers I've tried - and I've tried a lot: ashwaganda, GABA, valerian...
I only take one pill at night and about 150 mg of magnesium and I sleep great!
Also good for daytime anxiety.

I gave four stars because I've only been taking it for two weeks.
"
