Product_name,product_id,User,Review_title,Review_description,Rating,Dates,combined_review,sentiment_scores,sentiment
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Vic P,,Take 1 before bed. Seems to help...,5/5,10/14/2023, Take 1 before bed. Seems to help...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Heidi A.,Sleep well,Works great. This is the best so far. Will buy again.,5/5,10/15/2023,Sleep well Works great. This is the best so far. Will buy again.,"{'neg': 0.0, 'neu': 0.49, 'pos': 0.51, 'compound': 0.886}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Brenda W.,,I have used this product for several years. Take it mostly at night because it helps me sleep. My husband has even been taking it,5/5,10/16/2023, I have used this product for several years. Take it mostly at night because it helps me sleep. My husband has even been taking it,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3818}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Walmart Customer,,This helps me sleep better at night. I wake frequently through the night. I feel this product has lessened the frequency.,4/5,10/17/2023, This helps me sleep better at night. I wake frequently through the night. I feel this product has lessened the frequency.,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.6705}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Walmart Customer,,I have used this product for several years. Take it mostly at night because it helps me sleep. My husband has even been taking it,5/5,10/18/2023, I have used this product for several years. Take it mostly at night because it helps me sleep. My husband has even been taking it,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3818}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Vic P.,,Take 1 before bed. Seems to help...,5/5,10/19/2023, Take 1 before bed. Seems to help...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Walmart Customer,Great!!!,I like the combo- all herbs for stress and relaxation combined.,5/5,10/20/2023,Great!!! I like the combo- all herbs for stress and relaxation combined.,"{'neg': 0.135, 'neu': 0.339, 'pos': 0.526, 'compound': 0.8433}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,pwrgreg007,Calming,Helps calm me down after a hectic day at work. I notice the effects a few minutes after taking.,5/5,10/21/2023,Calming Helps calm me down after a hectic day at work. I notice the effects a few minutes after taking.,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.765}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Howard S.,Great!!!,I like the combo- all herbs for stress and relaxation combined.,5/5,10/22/2023,Great!!! I like the combo- all herbs for stress and relaxation combined.,"{'neg': 0.135, 'neu': 0.339, 'pos': 0.526, 'compound': 0.8433}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Anonymous,,Take 1 before bed. Seems to help...,5/5,10/23/2023, Take 1 before bed. Seems to help...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Shari B.,Better sleep!,I'm loving it! This really helps me sleep better at night which is Amazing!,5/5,10/24/2023,Better sleep! I'm loving it! This really helps me sleep better at night which is Amazing!,"{'neg': 0.0, 'neu': 0.389, 'pos': 0.611, 'compound': 0.9536}",positive
Natures Answer Passionflower Herb - 1 fl oz,26967602,yogahead,better dreams,"just a dropperful in shot glass of water 2x in 2 or 3 hours prior to bed, and i have positive, as opposed to fearful dreams.",5/5,10/25/2023,"better dreams just a dropperful in shot glass of water 2x in 2 or 3 hours prior to bed, and i have positive, as opposed to fearful dreams.","{'neg': 0.094, 'neu': 0.557, 'pos': 0.349, 'compound': 0.8271}",positive
"Nature's Plus Herbal Actives, Passion Flower, 250 mg, 60 Vegetarian Capsules",0,,,,/,10/26/2023, ,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",neutral
Passion Flower Herb,0,,,,/,10/27/2023, ,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",neutral
9GreenBox - Edible Passion Flower - 2 Pack,122510417,Amalia,WALMART IS THE BEST STORE,It came in a very fresh condition I love it. Amalia,5/5,10/28/2023,WALMART IS THE BEST STORE It came in a very fresh condition I love it. Amalia,"{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.9184}",positive
9GreenBox - Edible Passion Flower - 2 Pack,122510417,Armando,Don't waste your money.,"Bad, every leave on all four of my plants I ordered looked ate up by something, will not order again from here and do not recommend.  It's impossible to find the info how to initiate a return too since this is a market place vendor . Don't waste your money.",1/5,10/29/2023,"Don't waste your money. Bad, every leave on all four of my plants I ordered looked ate up by something, will not order again from here and do not recommend.  It's impossible to find the info how to initiate a return too since this is a market place vendor . Don't waste your money.","{'neg': 0.121, 'neu': 0.797, 'pos': 0.083, 'compound': -0.2837}",negative
9GreenBox - Edible Passion Flower - 2 Pack,122510417,Lbcoll,Lbcoll,These were humorous. Barely a few leaves on either small plant and the leaves were either torn or bitten. Definitely not like thenoicture My kid said it look terrible. Can't agree more.,1/5,10/30/2023,Lbcoll These were humorous. Barely a few leaves on either small plant and the leaves were either torn or bitten. Definitely not like thenoicture My kid said it look terrible. Can't agree more.,"{'neg': 0.229, 'neu': 0.64, 'pos': 0.13, 'compound': -0.4624}",negative
9GreenBox - Edible Passion Flower - 2 Pack,122510417,onelittlelight,Don?t order from this seller,Really kinda disappointed. The ones I got are maybe two inches tall. One has the stem snipped and only one mangled leaf. While this is healed it looks like it won?t live. The other had all the leaf tips chopped off. Watered right away and will put into dirt tomorrow. I would not order again from this seller. Plants were packaged well. Whatever damage happened was at the nursery. They should not have shipped these in this condition.,1/5,10/31/2023,Don?t order from this seller Really kinda disappointed. The ones I got are maybe two inches tall. One has the stem snipped and only one mangled leaf. While this is healed it looks like it won?t live. The other had all the leaf tips chopped off. Watered right away and will put into dirt tomorrow. I would not order again from this seller. Plants were packaged well. Whatever damage happened was at the nursery. They should not have shipped these in this condition.,"{'neg': 0.101, 'neu': 0.848, 'pos': 0.051, 'compound': -0.6647}",negative
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Happy about purchase,"I was advised to get specific herbs from iherb only--as my FMP   said he had investigated ""herb companies thoroughly""--and to not get them anywhere else--I   am using his ""prescription"" of 13 different herbal formulations from iherb to get off benzos and rebuild my GABA  receptors--It's only been 2 weeks, but I am shocked at what amazing progress I am making with my goal of getting that crap out of my life with a variety of different herbal formulations from iherb--and the prices are excellent to boot--I will be ordering more soon",5/5,11/1/2023,"Happy about purchase I was advised to get specific herbs from iherb only--as my FMP   said he had investigated ""herb companies thoroughly""--and to not get them anywhere else--I   am using his ""prescription"" of 13 different herbal formulations from iherb to get off benzos and rebuild my GABA  receptors--It's only been 2 weeks, but I am shocked at what amazing progress I am making with my goal of getting that crap out of my life with a variety of different herbal formulations from iherb--and the prices are excellent to boot--I will be ordering more soon","{'neg': 0.06, 'neu': 0.786, 'pos': 0.154, 'compound': 0.899}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Excellent!,"I found out about Passion flower back in the days when I was the general manager of a busy restaurant in NYC, when the speed of my life was going at 200 miles per hour! Passion flower really helped in keeping my anxiety down and restored a sense of  calmness (which is what everyone should be striving for in life). I usually buy Passion flower from this trusted brand, Paradise Herbs, and I find the quality of their ingredients excellent. Passion flower supposedly has many other benefits, look it up on the internet! It is one of my favorite ""magic"" herbs.",5/5,11/2/2023,"Excellent! I found out about Passion flower back in the days when I was the general manager of a busy restaurant in NYC, when the speed of my life was going at 200 miles per hour! Passion flower really helped in keeping my anxiety down and restored a sense of  calmness (which is what everyone should be striving for in life). I usually buy Passion flower from this trusted brand, Paradise Herbs, and I find the quality of their ingredients excellent. Passion flower supposedly has many other benefits, look it up on the internet! It is one of my favorite ""magic"" herbs.","{'neg': 0.014, 'neu': 0.672, 'pos': 0.314, 'compound': 0.9892}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Excellent!,Has a potent feel of passion flower in each capsule. I take this twice a day and it helps me no matter what time I take it. Can be sedative but I still enjoy it. It's great for the spirit and the body. Always works no matter what time it's taken.,5/5,11/3/2023,Excellent! Has a potent feel of passion flower in each capsule. I take this twice a day and it helps me no matter what time I take it. Can be sedative but I still enjoy it. It's great for the spirit and the body. Always works no matter what time it's taken.,"{'neg': 0.071, 'neu': 0.596, 'pos': 0.333, 'compound': 0.9354}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Great daily supplement for anxiety,"I have been taking this daily for about 3 years now, and my base level of anxiety has really improved. I can definitely tell if I forget a day or take it too late. Nothing bad at all to say about these supplements!",5/5,11/4/2023,"Great daily supplement for anxiety I have been taking this daily for about 3 years now, and my base level of anxiety has really improved. I can definitely tell if I forget a day or take it too late. Nothing bad at all to say about these supplements!","{'neg': 0.097, 'neu': 0.656, 'pos': 0.248, 'compound': 0.8833}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,SkippeLeGrec,Pleasant alternative to Melatonin,"Passion Flower helped me gradually relax into slumber, and with none of the groggy Melatonin hangover upon waking. It isn't a near-immediate knockout like Melatonin; PF has a more subtle effect. I would usually take a dosage of 2 capsules.",4/5,11/5/2023,"Pleasant alternative to Melatonin Passion Flower helped me gradually relax into slumber, and with none of the groggy Melatonin hangover upon waking. It isn't a near-immediate knockout like Melatonin; PF has a more subtle effect. I would usually take a dosage of 2 capsules.","{'neg': 0.046, 'neu': 0.756, 'pos': 0.199, 'compound': 0.7958}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerbCustomer,Good,"Great quality extract, 1 capsule is enough to feel the calming effect 
No fillers added, just clean product",4/5,11/6/2023,"Good Great quality extract, 1 capsule is enough to feel the calming effect 
No fillers added, just clean product","{'neg': 0.08, 'neu': 0.471, 'pos': 0.449, 'compound': 0.8807}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Good,"Great quality, but small dosage, dose not have any taste, easy to swallow.",4/5,11/7/2023,"Good Great quality, but small dosage, dose not have any taste, easy to swallow.","{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.81}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,No noticeable effect,"I bought these capsules hoping to ease my anxiety. I did not notice any benefit using this product. I don't think the product is bad quality, it just did not work for me. I followed the instructions on the packaging in terms of dosage.",3/5,11/8/2023,"No noticeable effect I bought these capsules hoping to ease my anxiety. I did not notice any benefit using this product. I don't think the product is bad quality, it just did not work for me. I followed the instructions on the packaging in terms of dosage.","{'neg': 0.189, 'neu': 0.709, 'pos': 0.102, 'compound': -0.5544}",negative
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Stopped taking it,"This was supposed to make me feel calmer so that I can fall asleep. It did not. Instead, I  found myself waking up around 3-5 am anytime I took it. Could not fall back asleep. 

Maybe it's a great supplement with quality ingredients but in my case not something I would touch again by itself. There are mixes with tiny amounts of this that I do fine with.",2/5,11/9/2023,"Stopped taking it This was supposed to make me feel calmer so that I can fall asleep. It did not. Instead, I  found myself waking up around 3-5 am anytime I took it. Could not fall back asleep. 

Maybe it's a great supplement with quality ingredients but in my case not something I would touch again by itself. There are mixes with tiny amounts of this that I do fine with.","{'neg': 0.021, 'neu': 0.885, 'pos': 0.094, 'compound': 0.6187}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Passion for the Flower,Has given an amazing calming affect!,5/5,11/10/2023,Passion for the Flower Has given an amazing calming affect!,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.8687}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Passion flower,I take 1 tablet every night with 1 tablet Matron Melatonin en sleep  very well  very good tablets,5/5,11/11/2023,Passion flower I take 1 tablet every night with 1 tablet Matron Melatonin en sleep  very well  very good tablets,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.8338}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,sleep -aid,"great for a good night,s sleep",5/5,11/12/2023,"sleep -aid great for a good night,s sleep","{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.7906}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,The best!,This is the best product I have ever tried - extremely good for feeling calm and relaxed!,5/5,11/13/2023,The best! This is the best product I have ever tried - extremely good for feeling calm and relaxed!,"{'neg': 0.0, 'neu': 0.361, 'pos': 0.639, 'compound': 0.9609}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Ok,Mild formula to help in relaxing and improve sleep quality.,3/5,11/14/2023,Ok Mild formula to help in relaxing and improve sleep quality.,"{'neg': 0.0, 'neu': 0.389, 'pos': 0.611, 'compound': 0.875}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Best,Help sleep,5/5,11/15/2023,Best Help sleep,"{'neg': 0.0, 'neu': 0.127, 'pos': 0.873, 'compound': 0.7845}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,"Paradise Herbs, European Passion Flower, 60 Veggie Caps",Rating 5/5,5/5,11/16/2023,"Paradise Herbs, European Passion Flower, 60 Veggie Caps Rating 5/5","{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.802}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Excellent!,Can't recommend this product enough - Makes my days much better,5/5,11/17/2023,Excellent! Can't recommend this product enough - Makes my days much better,"{'neg': 0.124, 'neu': 0.471, 'pos': 0.405, 'compound': 0.6987}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerbCustomer,Excellent!,Excellent at keeping me asleep!,5/5,11/18/2023,Excellent! Excellent at keeping me asleep!,"{'neg': 0.0, 'neu': 0.334, 'pos': 0.666, 'compound': 0.8395}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Ok,feel nothing but good also for ammunity system,3/5,11/19/2023,Ok feel nothing but good also for ammunity system,"{'neg': 0.266, 'neu': 0.598, 'pos': 0.137, 'compound': -0.363}",negative
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,freeradicle,relaxing,"Relaxing and balancing, without side effects.",5/5,11/20/2023,"relaxing Relaxing and balancing, without side effects.","{'neg': 0.0, 'neu': 0.439, 'pos': 0.561, 'compound': 0.7506}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,For sleep,Sadly these capsules did not help me to fall asleep faster or calm me down a bit.,2/5,11/21/2023,For sleep Sadly these capsules did not help me to fall asleep faster or calm me down a bit.,"{'neg': 0.226, 'neu': 0.671, 'pos': 0.103, 'compound': -0.4133}",negative
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,vitality,"Tonic, good for sleep and mood (but NOW is cheaper)",These are good - Paradise is the purest brand of herbs - but NOW is cheaper and works fine for sleep. Passionflower is a good general tonic for the nervous system and helps me fall asleep.,4/5,11/22/2023,"Tonic, good for sleep and mood (but NOW is cheaper) These are good - Paradise is the purest brand of herbs - but NOW is cheaper and works fine for sleep. Passionflower is a good general tonic for the nervous system and helps me fall asleep.","{'neg': 0.048, 'neu': 0.636, 'pos': 0.316, 'compound': 0.9144}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Good night!,"I enjoy eating passion flower before I go to bed (2 tabs).  I have deep, restful sleep and awake feeling fantastic - no groggy side effects.  I don't take every night, I rotate with Kana.  Sweet dreams!",5/5,11/23/2023,"Good night! I enjoy eating passion flower before I go to bed (2 tabs).  I have deep, restful sleep and awake feeling fantastic - no groggy side effects.  I don't take every night, I rotate with Kana.  Sweet dreams!","{'neg': 0.045, 'neu': 0.488, 'pos': 0.467, 'compound': 0.9627}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Excellent,Great condition. Thanks a lot.,5/5,11/24/2023,Excellent Great condition. Thanks a lot.,"{'neg': 0.0, 'neu': 0.157, 'pos': 0.843, 'compound': 0.8934}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Good buy!,Great! But need in larger cap/dosage size (ie 500mg).,4/5,11/25/2023,Good buy! Great! But need in larger cap/dosage size (ie 500mg).,"{'neg': 0.0, 'neu': 0.639, 'pos': 0.361, 'compound': 0.6229}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Good,No fillers. The capsule is very small and not entirely full. I prefer passionflower tinctures as I find them to be more effective.,4/5,11/26/2023,Good No fillers. The capsule is very small and not entirely full. I prefer passionflower tinctures as I find them to be more effective.,"{'neg': 0.078, 'neu': 0.642, 'pos': 0.28, 'compound': 0.6865}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerbCustomer,Excellent!,It calms and helps to fall asleep and sleep through. I still feel the calmness the morning after. It is highly recommended.,5/5,11/27/2023,Excellent! It calms and helps to fall asleep and sleep through. I still feel the calmness the morning after. It is highly recommended.,"{'neg': 0.0, 'neu': 0.554, 'pos': 0.446, 'compound': 0.9133}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Excellent!,"fast delivery, good quality, dosage is ok have taken already so many bottles and will be cobtinue to buy it!!!",5/5,11/28/2023,"Excellent! fast delivery, good quality, dosage is ok have taken already so many bottles and will be cobtinue to buy it!!!","{'neg': 0.0, 'neu': 0.644, 'pos': 0.356, 'compound': 0.8741}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,perfect,"have tried various supplements for relaxation. this one is the best I have tried. 
gently relaxing with no side effects.",5/5,11/29/2023,"perfect have tried various supplements for relaxation. this one is the best I have tried. 
gently relaxing with no side effects.","{'neg': 0.065, 'neu': 0.415, 'pos': 0.519, 'compound': 0.946}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Excellent!,"Great brand , no fillers",5/5,11/30/2023,"Excellent! Great brand , no fillers","{'neg': 0.179, 'neu': 0.163, 'pos': 0.658, 'compound': 0.784}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Excellent!,A great relaxer that helps me get to sleep easier.,5/5,12/1/2023,Excellent! A great relaxer that helps me get to sleep easier.,"{'neg': 0.0, 'neu': 0.237, 'pos': 0.763, 'compound': 0.9441}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Excellent!,this did a pretty good job at calming me down. I'm happy with it.,5/5,12/2/2023,Excellent! this did a pretty good job at calming me down. I'm happy with it.,"{'neg': 0.0, 'neu': 0.353, 'pos': 0.647, 'compound': 0.9476}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Paradise Passion Flower,"Calm me down &amp; no other ingredients like filler, binder in Paradise supplements",5/5,12/3/2023,"Paradise Passion Flower Calm me down &amp; no other ingredients like filler, binder in Paradise supplements","{'neg': 0.077, 'neu': 0.352, 'pos': 0.57, 'compound': 0.9325}",positive
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,Excellent!,"Helps support nervous system, relaxes and helps to control the mood!",5/5,12/4/2023,"Excellent! Helps support nervous system, relaxes and helps to control the mood!","{'neg': 0.092, 'neu': 0.263, 'pos': 0.644, 'compound': 0.9115}",positive
"3 PACK Tadin Tea, Pasiflora - Passion Flower Tea, 72 Tea Bags - Relax Mind Muscle Pasiflora",0,,,,/,12/5/2023, ,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",neutral
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb customer,Good sleep,"I have benefited from this product as it helps me sleep. The dosage is really low. Just one capsule. I get as many natural products from Solaray as possible, because they make quality products",5/5,12/6/2023,"Good sleep I have benefited from this product as it helps me sleep. The dosage is really low. Just one capsule. I get as many natural products from Solaray as possible, because they make quality products","{'neg': 0.059, 'neu': 0.743, 'pos': 0.198, 'compound': 0.6815}",positive
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,great product,"great product, it really works , I advise to try it, I already told my friends in the gym about it, the ingredients are genuine, best quality available, acceptable size capsule, I really like it, the price is OK with reasonable dosage, I like the reasonable size ot the bottle, sure I will buy it again.",5/5,12/7/2023,"great product great product, it really works , I advise to try it, I already told my friends in the gym about it, the ingredients are genuine, best quality available, acceptable size capsule, I really like it, the price is OK with reasonable dosage, I like the reasonable size ot the bottle, sure I will buy it again.","{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.9811}",positive
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,YA3LLA,"Great, but sold out too often","Solaray is my newest go to brand, because of the quality and the effective dosage of their products. This one is no exception and apparently I am not the only one who thinks it's great: it is sold out too often ??",5/5,12/8/2023,"Great, but sold out too often Solaray is my newest go to brand, because of the quality and the effective dosage of their products. This one is no exception and apparently I am not the only one who thinks it's great: it is sold out too often ??","{'neg': 0.048, 'neu': 0.735, 'pos': 0.217, 'compound': 0.8981}",positive
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,Anxiety benefits,"Haven't started taking it yet, but heard a lot about how this supplement helps with anxiety",5/5,12/9/2023,"Anxiety benefits Haven't started taking it yet, but heard a lot about how this supplement helps with anxiety","{'neg': 0.157, 'neu': 0.602, 'pos': 0.241, 'compound': 0.4215}",positive
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,"Superb price, delivery, and effectiveness11","Iherb had the best price on the Internet; they delivered in 2 days, and passion flower has aided my sleep, allowing me to fall asleep faster, and stay asleep longer.",5/5,12/10/2023,"Superb price, delivery, and effectiveness11 Iherb had the best price on the Internet; they delivered in 2 days, and passion flower has aided my sleep, allowing me to fall asleep faster, and stay asleep longer.","{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.9062}",positive
