Product_name,product_id,User,,Review_title,Review_description,Rating,Dates
Natures Answer Passionflower Herb - 1 fl oz,26967602,yogahead,,better dreams,"just a dropperful in shot glass of water 2x in 2 or 3 hours prior to bed, and i have positive, as opposed to fearful dreams.",5/5,10/25/2023
"Nature's Plus Herbal Actives, Passion Flower, 250 mg, 60 Vegetarian Capsules",,,,,,/,10/26/2023
Passion Flower Herb,,,,,,/,10/27/2023
9GreenBox - Edible Passion Flower - 2 Pack,122510417,Amalia,,WALMART IS THE BEST STORE,It came in a very fresh condition I love it. Amalia,5/5,10/28/2023
9GreenBox - Edible Passion Flower - 2 Pack,122510417,Armando,,Don't waste your money.,"Bad, every leave on all four of my plants I ordered looked ate up by something, will not order again from here and do not recommend.  It's impossible to find the info how to initiate a return too since this is a market place vendor . Don't waste your money.",5/1,10/29/2023
9GreenBox - Edible Passion Flower - 2 Pack,122510417,Lbcoll,,Lbcoll,These were humorous. Barely a few leaves on either small plant and the leaves were either torn or bitten. Definitely not like thenoicture My kid said it look terrible. Can't agree more.,5/1,10/30/2023
9GreenBox - Edible Passion Flower - 2 Pack,122510417,onelittlelight,,Don?t order from this seller,Really kinda disappointed. The ones I got are maybe two inches tall. One has the stem snipped and only one mangled leaf. While this is healed it looks like it won?t live. The other had all the leaf tips chopped off. Watered right away and will put into dirt tomorrow. I would not order again from this seller. Plants were packaged well. Whatever damage happened was at the nursery. They should not have shipped these in this condition.,5/1,10/31/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Happy about purchase,"I was advised to get specific herbs from iherb only--as my FMP   said he had investigated ""herb companies thoroughly""--and to not get them anywhere else--I   am using his ""prescription"" of 13 different herbal formulations from iherb to get off benzos and rebuild my GABA  receptors--It's only been 2 weeks, but I am shocked at what amazing progress I am making with my goal of getting that crap out of my life with a variety of different herbal formulations from iherb--and the prices are excellent to boot--I will be ordering more soon",5/5,11/1/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Excellent!,"I found out about Passion flower back in the days when I was the general manager of a busy restaurant in NYC, when the speed of my life was going at 200 miles per hour! Passion flower really helped in keeping my anxiety down and restored a sense of  calmness (which is what everyone should be striving for in life). I usually buy Passion flower from this trusted brand, Paradise Herbs, and I find the quality of their ingredients excellent. Passion flower supposedly has many other benefits, look it up on the internet! It is one of my favorite ""magic"" herbs.",5/5,11/2/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Excellent!,Has a potent feel of passion flower in each capsule. I take this twice a day and it helps me no matter what time I take it. Can be sedative but I still enjoy it. It's great for the spirit and the body. Always works no matter what time it's taken.,5/5,11/3/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Great daily supplement for anxiety,"I have been taking this daily for about 3 years now, and my base level of anxiety has really improved. I can definitely tell if I forget a day or take it too late. Nothing bad at all to say about these supplements!",5/5,11/4/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,SkippeLeGrec,,Pleasant alternative to Melatonin,"Passion Flower helped me gradually relax into slumber, and with none of the groggy Melatonin hangover upon waking. It isn't a near-immediate knockout like Melatonin; PF has a more subtle effect. I would usually take a dosage of 2 capsules.",5/4,11/5/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerbCustomer,,Good,"Great quality extract, 1 capsule is enough to feel the calming effect 
No fillers added, just clean product",5/4,11/6/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Good,"Great quality, but small dosage, dose not have any taste, easy to swallow.",5/4,11/7/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,No noticeable effect,"I bought these capsules hoping to ease my anxiety. I did not notice any benefit using this product. I don't think the product is bad quality, it just did not work for me. I followed the instructions on the packaging in terms of dosage.",5/3,11/8/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Stopped taking it,"This was supposed to make me feel calmer so that I can fall asleep. It did not. Instead, I  found myself waking up around 3-5 am anytime I took it. Could not fall back asleep. 

Maybe it's a great supplement with quality ingredients but in my case not something I would touch again by itself. There are mixes with tiny amounts of this that I do fine with.",5/2,11/9/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Passion for the Flower,Has given an amazing calming affect!,5/5,11/10/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Passion flower,I take 1 tablet every night with 1 tablet Matron Melatonin en sleep  very well  very good tablets,5/5,11/11/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,sleep -aid,"great for a good night,s sleep",5/5,11/12/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,The best!,This is the best product I have ever tried - extremely good for feeling calm and relaxed!,5/5,11/13/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Ok,Mild formula to help in relaxing and improve sleep quality.,5/3,11/14/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Best,Help sleep,5/5,11/15/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,"Paradise Herbs, European Passion Flower, 60 Veggie Caps",Rating 5/5,5/5,11/16/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Excellent!,Can't recommend this product enough - Makes my days much better,5/5,11/17/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerbCustomer,,Excellent!,Excellent at keeping me asleep!,5/5,11/18/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Ok,feel nothing but good also for ammunity system,5/3,11/19/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,freeradicle,,relaxing,"Relaxing and balancing, without side effects.",5/5,11/20/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,For sleep,Sadly these capsules did not help me to fall asleep faster or calm me down a bit.,5/2,11/21/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,vitality,,"Tonic, good for sleep and mood (but NOW is cheaper)",These are good - Paradise is the purest brand of herbs - but NOW is cheaper and works fine for sleep. Passionflower is a good general tonic for the nervous system and helps me fall asleep.,5/4,11/22/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Good night!,"I enjoy eating passion flower before I go to bed (2 tabs).  I have deep, restful sleep and awake feeling fantastic - no groggy side effects.  I don't take every night, I rotate with Kana.  Sweet dreams!",5/5,11/23/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Excellent,Great condition. Thanks a lot.,5/5,11/24/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Good buy!,Great! But need in larger cap/dosage size (ie 500mg).,5/4,11/25/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Good,No fillers. The capsule is very small and not entirely full. I prefer passionflower tinctures as I find them to be more effective.,5/4,11/26/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerbCustomer,,Excellent!,It calms and helps to fall asleep and sleep through. I still feel the calmness the morning after. It is highly recommended.,5/5,11/27/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Excellent!,"fast delivery, good quality, dosage is ok have taken already so many bottles and will be cobtinue to buy it!!!",5/5,11/28/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,perfect,"have tried various supplements for relaxation. this one is the best I have tried. 
gently relaxing with no side effects.",5/5,11/29/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Excellent!,"Great brand , no fillers",5/5,11/30/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Excellent!,A great relaxer that helps me get to sleep easier.,5/5,12/1/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Excellent!,this did a pretty good job at calming me down. I'm happy with it.,5/5,12/2/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Paradise Passion Flower,"Calm me down &amp; no other ingredients like filler, binder in Paradise supplements",5/5,12/3/2023
"Paradise Herbs Passion Flower, 60 Vegetarian Capsules",373232686,iHerb Customer,,Excellent!,"Helps support nervous system, relaxes and helps to control the mood!",5/5,12/4/2023
"3 PACK Tadin Tea, Pasiflora - Passion Flower Tea, 72 Tea Bags - Relax Mind Muscle Pasiflora",,,,,,/,12/5/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb customer,,Good sleep,"I have benefited from this product as it helps me sleep. The dosage is really low. Just one capsule. I get as many natural products from Solaray as possible, because they make quality products",5/5,12/6/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,,great product,"great product, it really works , I advise to try it, I already told my friends in the gym about it, the ingredients are genuine, best quality available, acceptable size capsule, I really like it, the price is OK with reasonable dosage, I like the reasonable size ot the bottle, sure I will buy it again.",5/5,12/7/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,YA3LLA,,"Great, but sold out too often","Solaray is my newest go to brand, because of the quality and the effective dosage of their products. This one is no exception and apparently I am not the only one who thinks it's great: it is sold out too often ??",5/5,12/8/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,,Anxiety benefits,"Haven't started taking it yet, but heard a lot about how this supplement helps with anxiety",5/5,12/9/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,,"Superb price, delivery, and effectiveness11","Iherb had the best price on the Internet; they delivered in 2 days, and passion flower has aided my sleep, allowing me to fall asleep faster, and stay asleep longer.",5/5,12/10/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,,excellent,This product is great! i will buy it again. Thanks iherb!,5/5,12/11/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,,Nice product,Good supplement to sleep well and good quality and composition,5/5,12/12/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,,Good,The product has a significant relaxation effect. Useful for sleeping.,5/4,12/13/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,,Good,"These pills for sleep are amazing, they help me sleep well, and best thing i dont wake up wirh any bad side effects.",5/4,12/14/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,Walmart Customer,,Weird side effects.,Caused a great deal of pain in my arthritic joints. Never expected that. Tried them twice and had the same results.,5/1,12/15/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,,Good,"These pills for sleep are amazing, they help me sleep well, and best thing i dont wake up wirh any bad side effects.",5/4,12/16/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,,Great procuct,This guaranteed potency is the way to go.   So happy Solaray has this.  Helps to sleep.,5/5,12/17/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,iHerb Customer,,Sleep,"The ingredient is calming, helps with sleep as well. Quality is great.",5/5,12/18/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,Angie O.,,:),:),5/5,12/19/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,Jack Russell,,Honest ,"In my search I saw another Solary Passion Flower product at 350mg with a green cap/lid. It was more pills for less. At an earlier time I bought the 250mg extract with the red cap from a store (60 pills). I will continue to buy the red cap because it works - I don't know the green cap one so I will not buy it. Few of these natural type products work, but if I take two of PF before bed I go from getting 4 or 5 so-so hours of sleep to 7 or 8 sleeping-like-I-am-a-teenager-again hours of sleep. I went to WF's yesterday and bought some Passion Flower for about 3 times as much as here. I figured, hey it's WF's, it must be good; think again. The red cap Solaray 250mg extract actually works. - This is an honest  by a real consumer. Oh, and although I am lean and fit I suffer at times from sleep apnea. On some nights I will awake in the middle of the night with my heart pounding. It's my adrenaline that is jacked from a flight or fight reaction from having not breathed. When this happens I cannot get back to sleep for an hour or 2, if at all. So I wear an SPO2 monitor that goes on the wrist with a sensor that covers the end of a finger. If my O2 drops below 88% an alarm sounds waking me. It can be a real pain but it intervenes before the fight or flight kicks in. This is a big help. The apnea can be real bad if I have had a few drinks. I suspect that I whacked my head a few times over the years and probably did some minor brain damage to my sleep centers. This causes the apnea",5/5,12/20/2023
Solaray Passion Flower Aerial Extract 60 Veg Caps,159552147,Craig B.,,"It works for me,  calming my mind.","I have been using this on and off---it really seems to help calm me,  especially if I throw low dose lithium (10mg) and some other herbs like lemon balm and/or l-theanine with it.   I think the passion flower is the most potent of any of the others I use or have tried---all by itself.   I have tried Swanson brand---but the Solar Ray extract really seems to be the best by far.",5/5,12/21/2023
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Dovelynn,,Arrived on time,Package arrived on time. Started taking as recommended by my daughter. Too early to know if it helps.,5/5,12/22/2023
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Cindy,,Feeling good,These work wonders. I no longer feel exhausted emotionally or mentally. This evens things out.,5/5,12/23/2023
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Donna,,Relaxation!,This was recommended by someone and helps me sleep!,5/5,12/24/2023
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Mary G.,,Everything good.,"My daughter was on Adderall all during school. If there was a question ... increase the Adderall. My pharmacist we find a different and try other meds. Boy did he put my head in a spin. We found someone who thought the same thing. We slowly decreased off the Adderall and was put on the L-Theanine.
What a life saver- she is my little girl again. No outbursts, she is happy, I am thrilled. GREAT meds to take.",5/5,12/25/2023
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Adam A.,,Your L-Theanine is Excellent,"Perfect to clam me down and wind down from the busy day to get into a sleepy state. Then in conjunction with meditation, I'm soundly a sleep all throughout the night and early morning",5/5,12/26/2023
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,George L.,,L-Theanine,"I find this product surprisingly effective in both
mood and stress related areas. So happy I purchased it from Bronson. Their quality and products are top drawer.",5/5,12/27/2023
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,TAMMY W.,,Great supplement,Everyone in our home takes this regularly. It helps with stress and helps keep our focus on what is important instead of dwelling on issues we don’t have control over in our crazy world.,5/5,12/28/2023
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Erin K.,,Great Value Quick Shipping Taken Daily,My naturopath recommended L-theanine to me for my anxiety this blend also has passionflower which is very beneficial too. It’s hard to find in Australia so I order this in bulk once a year.,5/5,12/29/2023
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,secretshopper,,Not sure.,It is difficult to evaluate the effect of this formula. BUT I have stopped using other sleep aids and am sleeping ok.,5/4,12/30/2023
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Megan,,No results so far for anxiety,"I've been using this for a week now along with Prozac 20mg. I take 200mg of the L-theanine 1-2 times daily. I don't feel any more anxiety than usual while taking it but also don't feel a "" calming "" effect.  I haven't had any side effects though. I will continue to take this regularly hoping to see results. I have noticed an increase in focus and motivation which is a huge plus.",5/3,12/31/2023
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Jeanie B.,,Great!,Great!,5/5,1/1/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Wendy M.,,Great product,Great product,5/5,1/2/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Philip T.,,nice price,nice price,5/5,1/3/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,clifford j.,,L-Theanine,Works great this is my second bottle,5/5,1/4/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Mike W.,,Chill Pill,Has a nice calming effect after a stressful day.,5/5,1/5/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Beth K.,,L-Theanine,I take it each evening. Easy to swallow capsules. Seems to help me relax.,5/5,1/6/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Jane B.,,Bronson L- Theanine is very,Bronson L- Theanine is very effective ad are all the Bronson products.,5/5,1/7/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,John M.,,I stack this with coffee,With coffee it makes me alert without jitters and I can push through the day.,5/5,1/8/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,George L.,,L-Theanine a,"I am a regular user of this product, and find it ideal.",5/5,1/9/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Brendan K.,,Great Product,Helps with clarity and relaxation. Feel effects quickly,5/5,1/10/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,joseph k.,,bronson''s products,"i trust bronson's quality control, have not been disappointed",5/5,1/11/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Popcorn,,Works great..,Works very well. I have been on it now three weeks feeling great...,5/5,1/12/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Philip T.,,nice price,nice price,5/5,1/13/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Colleen L.,,Excellent sleep aid.,"I take it help me sleep better. Found that Bronson brand is pure, authentic. No additives. Just a high quality product. Like that it comes in larger size bottle. Great price.",5/5,1/14/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Susan K.,,Love theanine,"Really helps me get going in the morning, with a gentler push than coffee. But obviously folks are figuring this out, since they keep selling out!",5/5,1/15/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,LJ,,It works,Most definitely helps. I know when I dont take it and found out it doesn't work as well if u do take it with food.,5/5,1/16/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Tracy B.,,Really Helps Me Sleep,"I always have trouble sleeping so I ordered this product. It has really helped me to sleep better, and I highly recommend it.",5/5,1/17/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Damon G.,,Best place to buy from.,"Title says it all. Cheapest place to get this good quality product, delivery is amazingly effecient.",5/5,1/18/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Sirena G.,,Very effective,I like this supplement so much because its help me curb my anxiety a little bit and is very effective,5/5,1/19/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Gail H.,,Never miss a day.,"L-Theanine keeps me focused, fairly sharp &amp; more able to function, even with a mild traumatic brain injury..

I willi not be without it.",5/5,1/20/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Beverly L.,,good item,l-theanine has been a great help to my family. it's calming effect is helping us to cope with a family tragedy.,5/5,1/21/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Pat K.,,:arge quantity at a fair price!,"We love this brand, Excellent quality and a good price!",5/5,1/22/2024
"Bronson L-Theanine 200mg (Double-Strength) with Passion Flower Herb - Reducing Stress - Non-GMO Gluten Free, 120 Capsules",410180255,Aiden S.,,Better Sleep,Helps me fall asleep faster. Promotes relaxation.,5/4,1/23/2024
"California Gold Nutrition EuroHerbs™, Passion Flower Extract,  Euromed Quality, 250 mg, 60 Veggie Capsules",686039781,HealthIsWealth,,Great Sleep,"I take passion flower along with magnesium and chamomile nightly and let's just say I sleep like a princess haha! You have to play around and find what works for you but once you do, with consistency, you will see results and reap the rewards. This specific brand by iHerb is a great quality and size. I will continue to purchase this one.",5/5,1/24/2024
"California Gold Nutrition EuroHerbs™, Passion Flower Extract,  Euromed Quality, 250 mg, 60 Veggie Capsules",686039781,DolphineBTC1000,,Excellent!,"This little bottle of botanical bliss has become an essential part of one's nightly ritual, nestled comfortably between the silk eye mask and the crystal-infused water carafe. The capsules, veggie-friendly mind you, are a cinch to swallow - no unseemly gulping required.",5/5,1/25/2024
"California Gold Nutrition EuroHerbs™, Passion Flower Extract,  Euromed Quality, 250 mg, 60 Veggie Capsules",686039781,iHerbCustomer,,Great value for money,"I've been using this label for quite some time now and i'm truly satisfied with it. I have a trouble to get into sleep and this helps me a lot. Beside that, i feel more calm during the day, my blood pressure has been normalized and even my mood got better. Definitely would recomend 10/10.",5/5,1/26/2024
"California Gold Nutrition EuroHerbs™, Passion Flower Extract,  Euromed Quality, 250 mg, 60 Veggie Capsules",686039781,Maya,,Great Natural Way to Relax and Sleep Better,"This has been fantastic for helping me relax and get a better night's sleep. The capsules are easy to take, and I love that they're made with natural ingredients like chlorophyll from Alfalfa and Mulberry leaves. If you're looking for a natural way to wind down, I definitely recommend giving this a try",5/5,1/27/2024
